symbol,company
AAA,AAF First Priority CLO Bond ETF
NXTD,"Nxt-ID, Inc. Common Stock"
AAIC,Arlington Asset Investment Corp.
AAIN,Arlington Asset Investment Corp. 6.000% Senior Notes Due 2026
AAMC,Altisource Asset Mgmt Corp
AAME,Atlantic American Corporation Common Stock
AAN,"The Aaron's Company, Inc."
AAOI,"Applied Optoelectronics, Inc. Common Stock"
AAON,"AAON, Inc. Common Stock"
AAP,ADVANCE AUTO PARTS INC
AAPL,Apple Inc. Common Stock
AAQC,Accelerate Acquisition Corp.
AAQC.U,"Accelerate Acquisition Corp. Units, each consisting of one Class A common stock, and one-third of on"
AAT,"AMERICAN ASSETS TRUST, INC."
AATC,Autoscope Technologies Corporation Common Stock
ABEV,AMBEV S.A.
ABG,"Asbury Automotive Group, Inc."
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares
ABIO,"ARCA biopharma, Inc. Common Stock"
ABM,"ABM Industries, Inc."
ABMD,"ABIOMED, Inc. Common Stock"
ABNB,"Airbnb, Inc. Class A Common Stock"
ABOS,"Acumen Pharmaceuticals, Inc. Common Stock"
ABR,"Arbor Realty Trust, Inc."
ABSI,Absci Corporation Common Stock
ABST,Absolute Software Corporation Common Stock
AAXJ,iShares MSCI All Country Asia ex Japan ETF
ABT,Abbott Laboratories
ABTX,"Allegiance Bancshares, Inc. Common Stock"
ABUS,Arbutus Biopharma Corporation Common Stock
ABVC,"ABVC Biopharma, Inc. Common Stock"
AC,"Associated Capital Group, Inc."
ACAD,ACADIA Pharmaceuticals Inc. Common Stock
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock
ACAHU,Atlantic Coastal Acquisition Corp. Unit
ACB,Aurora Cannabis Inc. Common Shares
ACBA,Ace Global Business Acquisition Limited Ordinary Shares
ACBAU,Ace Global Business Acquisition Limited Unit
ACBI,"Atlantic Capital Bancshares, Inc. Common Stock"
ACC,"American Campus Communities, Inc."
ACCD,"Accolade, Inc. Common Stock"
ACCO,Acco Brands Corporation
ACEL,"Accel Entertainment, Inc."
ACER,Acer Therapeutics Inc. Common Stock (DE)
ACES,ALPS Clean Energy ETF
ACET,"Adicet Bio, Inc. Common Stock"
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares
ACEVU,ACE Convergence Acquisition Corp. Unit
ACGL,Arch Capital Group Ltd. Common Stock
ACGLN,"Arch Capital Group Ltd. Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G"
ACGLO,"Arch Capital Group Ltd. Depositary Shares Each Representing 1/1,000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares, Series F"
ACH,Alum Corp of China Limited
ACHC,"Acadia Healthcare Company, Inc. Common Stock"
ACHL,Achilles Therapeutics plc American Depositary Shares
ACHR,Archer Aviation Inc.
ACHV,"Achieve Life Sciences, Inc. Common Shares"
ACI,"Albertsons Companies, Inc."
ACII,Atlas Crest Investment Corp. II
ACII.U,"Atlas Crest Investment Corp. II Units, each consisting of one Class A common stock, $.0001 par value"
ACIO,Aptus Collared Income Opportunity ETF
ACIU,AC Immune SA Common Stock
ACIW,"ACI Worldwide, Inc. Common Stock"
ACKIT,Ackrell SPAC Partners I Co. Subunits
ACKIU,Ackrell SPAC Partners I Co. Units
ACLS,"Axcelis Technologies, Inc. Common Stock"
ACM,Aecom
ACMR,"ACM Research, Inc. Class A Common Stock"
ACN,Accenture PLC
ACNB,ACNB Corporation Common Stock
ACOR,"Acorda Therapeutics, Inc. Common Stock"
ACP,Aberdeen Income Credit Strategies Fund
ACQR,Independence Holdings Corp. Class A Ordinary Share
ACQRU,Independence Holdings Corp. Units
ACR,ACRES Commercial Realty Corp.
ACRE,Ares Commercial Real Estate Corporation
ACRO,Acropolis Infrastructure Acquisition Corp.
ACRO.U,"Acropolis Infrastructure Acquisition Corp. Units, each consisting of one share of Class A Common Sto"
ACRS,"Aclaris Therapeutics, Inc. Common Stock"
ACRX,"AcelRx Pharmaceuticals, Inc. Common Stock"
ACSI,American Customer Satisfaction ETF
ACST,"Acasti Pharma, Inc. Class A Common Stock"
ACT,"Enact Holdings, Inc. Common Stock"
ACTD,ArcLight Clean Transition Corp. II Class A Ordinary Share
ACTDU,ArcLight Clean Transition Corp. II Unit
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock
ACTV,LeaderShares Activist Leaders ETF
ACU,Acme United Corporation
ACV,Virtus AllianzGI Diversified Income & Convertible Fund
ACVA,ACV Auctions Inc. Class A Common Stock
ACVF,American Conservative Values ETF
ACWF,iShares MSCI Global Multifactor ETF
ACWI,iShares MSCI ACWI ETF
ACWV,iShares MSCI Global Min Vol Factor ETF
ACWX,iShares MSCI ACWI ex US ETF
ACXP,"Acurx Pharmaceuticals, Inc. Common Stock"
ACY,AeroCentury Corporation
ADAG,Adagene Inc. American Depositary Shares
ADAP,Adaptimmune Therapeutics plc American Depositary Shares
ADC,Agree Realty Corporation
ADCT,ADC Therapeutics SA
ADER,26 Capital Acquisition Corp. Class A Common Stock
ADERU,26 Capital Acquisition Corp. Unit
ADES,"Advanced Emissions Solutions, Inc. Common Stock"
ADEX,Adit EdTech Acquisition Corp
ADEX.U,"Adit EdTech Acquisition Corp Units, each consisting of one share of common stock, and one-half of on"
ADF,Aldel Financial Inc.
ADF.U,"Aldel Financial Inc. Units, each consisting of one share of Class A common stock and one-half of one"
ADFI,Anfield Dynamic Fixed Income ETF
ADGI,"Adagio Therapeutics, Inc. Common Stock"
ADI,"Analog Devices, Inc. Common Stock"
ADIL,"Adial Pharmaceuticals, Inc Common Stock"
ADIV,SmartETFs Asia Pacific Dividend Builder ETF
ADM,Archer Daniels Midland Company
ADMA,ADMA Biologics Inc Common Stock
ADME,Aptus Behavioral Momentum ETF
ADMP,Adamis Pharmaceuticals Corporation Common Stock
ADMS,"Adamas Pharmaceuticals, Inc. Common Stock"
ADN,"Advent Technologies Holdings, Inc. Class A Common Stock"
ADNT,Adient plc Ordinary Shares
ADOC,Edoc Acquisition Corp. Class A Ordinary Share
ADOCR,Edoc Acquisition Corp. Right
ADP,"Automatic Data Processing, Inc. Common Stock"
ADPT,Adaptive Biotechnologies Corporation Common Stock
ADRA,Adara Acquisition Corp.
ADRA.U,"Adara Acquisition Corp. Units, each consisting of one share of Class A common stock, and one-half of"
ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund
ADS,Alliance Data Systems Corporation
ADSK,"Autodesk, Inc. Common Stock"
ADT,ADT Inc.
ADTN,"ADTRAN, Inc. Common Stock"
ADTX,"Aditxt, Inc. Common Stock"
ADUS,Addus HomeCare Corporation Common Stock
ADV,Advantage Solutions Inc. Class A Common Stock
ADVM,"Adverum Biotechnologies, Inc. Common Stock"
ADX,"Adams Diversified Equity Fund, Inc"
ADXN,Addex Therapeutics Ltd American Depositary Shares
ADXS,"Advaxis, Inc. Common Stock"
AE,Adams Resources & Energy Inc.
AEAC,Authentic Equity Acquisition Corp. Class A ordinary share
AEACU,Authentic Equity Acquisition Corp. Unit
AEE,Ameren Corporation
AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc."
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049
AEG,AEGON N.V.
AEHAU,Aesther Healthcare Acquisition Corp Units
AEHL,Antelope Enterprise Holdings Limited Common Stock (0.024 par)
AEHR,Aehr Test Systems Common Stock
AEI,Alset EHome International Inc. Common Stock
AEIS,"Advanced Energy Industries, Inc. Common Stock"
AEL,American Equity Investment Life Holding Company
AEM,Agnico Eagle Mines Ltd.
AEMB,American Century Emerging Markets Bond ETF
AEMD,"Aethlon Medical, Inc. Common Stock"
AENZ,Aenza S.A.A.
AEO,American Eagle Outfitters
AEP,"American Electric Power Company, Inc. Common Stock"
AEPPL,"American Electric Power Company, Inc. Corporate Unit"
AEPPZ,"American Electric Power Company, Inc. Corporate Units"
AER,Aercap Holdings N.V.
AEY,"ADDvantage Technologies Group, Inc. Common Stock"
AEYE,"AudioEye, Inc. Common Stock"
AEZS,Aeterna Zentaris Inc. Common Stock
AFAQ,AF Acquisition Corp. Class A Common Stock
AFAQU,AF Acquisition Corp. Units
AFB,"Alliance National Municipal Income Fund, Inc."
AFBI,"Affinity Bancshares, Inc. Common Stock (MD)"
AFCG,"AFC Gamma, Inc. Common Stock"
AFG,"American Financial Group, Inc."
AFGB,"American Financial Group, Inc. 5.875% Subordinated Debentures due 2059"
AFGC,"American Financial Group, Inc. 5.125% Subordinated Debentures due 2059"
AFIF,Anfield Universal Fixed Income ETF
AFIN,"American Finance Trust, Inc. Class A Common Stock"
AFINO,"American Finance Trust, Inc. 7.375% Series C Cumulative Redeemable Preferred Stock"
AFINP,"American Finance Trust, Inc. 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock"
AFK,VanEck Africa Index ETF
AFL,Aflac Inc.
AFLG,First Trust Active Factor Large Cap ETF
AFMC,First Trust Active Factor Mid Cap ETF
AFMD,Affimed N.V.
AFRM,"Affirm Holdings, Inc. Class A Common Stock"
AFSM,First Trust Active Factor Small Cap ETF
AFT,Apollo Senior Floating Rate Fund Inc.
AFTR,AfterNext HealthTech Acquisition Corp.
AFTR.U,"AfterNext HealthTech Acquisition Corp. Units, each consisting of one Class A ordinary share and one-"
AFTY,Pacer CSOP FTSE China A50 ETF
AFYA,Afya Limited Class A Common Shares
AG,FIRST MAJESTIC SILVER CORP
AGAC,African Gold Acquisition Corporation
AGAC.U,"African Gold Acquisition Corporation Units, each consisting of one Class A ordinary share and three"
AGBA,AGBA Acquisition Limited Ordinary Share
AGBAR,AGBA Acquisition Limited Right
AGBAU,AGBA Acquisition Limited Unit
AGC,Altimeter Growth Corp. Class A Ordinary Shares
AGCB,Altimeter Growth Corp. 2
AGCO,AGCO Corporation
AGCUU,Altimeter Growth Corp. Unit
AGD,Aberdeen Global Dynamic Dividend Fund
AGE,"AgeX Therapeutics, Inc."
AGEN,Agenus Inc. Common Stock
AGFS,"AgroFresh Solutions, Inc. Common Stock"
AGFY,Agrify Corporation Common Stock
AGG,iShares Core U.S. Aggregate Bond ETF
AGGR,Agile Growth Corp. Class A Ordinary Share
AGGRU,Agile Growth Corp. Units
AGGY,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund
AGI,Alamos Gold Inc. Class A Common Shares
AGIL,"AgileThought, Inc. Class A Common Stock"
AGIO,"Agios Pharmaceuticals, Inc. Common Stock"
AGL,"agilon health, inc."
AGLE,"Aeglea BioTherapeutics, Inc. Common Stock"
AGM,Federal Agricultural Mortgage Corporation
AGM.A,Federal Agricultural Mortgage Corporation Class A Voting
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares
AGNC,AGNC Investment Corp. Common Stock
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock
AGNCN,"AGNC Investment Corp. Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock"
AGNCO,"AGNC Investment Corp. Depositary Shares, each representing a 1/1,000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock"
AGNCP,"AGNC Investment Corp. Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock"
AGNG,Global X Funds Global X Aging Population ETF
AGO,"Assured Guaranty, LTD"
AGOV,Gavekal Asia Pacific Government Bond ETF
AGOX,Adaptive Alpha Opportunities ETF
AGQ,ProShares Ultra Silver
AGRI,AgriFORCE Growing Systems Ltd. Common Shares
AGRO,ADECOAGRO S.A.
AGRX,"Agile Therapeutics, Inc. Common Stock"
AGS,"PlayAGS, Inc."
AGT,iShares MSCI Argentina and Global Exposure ETF
AGTC,Applied Genetic Technologies Corporation Common Stock
AGTI,"Agiliti, Inc."
AGX,"Argan, Inc"
AGYS,"Agilysys, Inc. Common Stock"
AGZ,iShares Agency Bond ETF
AGZD,WisdomTree Trust WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund
AHCO,AdaptHealth Corp. Common Stock
AHH,"Armada Hoffler Properties, Inc."
AHPA,Avista Public Acquisition Corp. II Class A Ordinary Shares
AHPAU,Avista Public Acquisition Corp. II Unit
AHPI,"Allied Healthcare Products, Inc. Common Stock"
AHT,"Ashford Hospitality Trust, Inc."
AI,"C3.ai, Inc."
AIA,iShares Asia 50 ETF
AIG,"American International Group, Inc."
AIH,Aesthetic Medical International Holdings Group Ltd. American Depositary Shares
AIIQ,AI Powered International Equity ETF
AIKI,AIkido Pharma Inc. Common Stock
AIM,AIM ImmunoTech Inc.
AIMC,Altra Industrial Motion Corp. Common Stock
AIO,Virtus AllianzGI Artificial Intelligence & Technology Opportunities Fund
AIQ,Global X Funds Global X Artificial Intelligence & Technology ETF
AIR,AAR Corp.
AIRC,Apartment Income REIT Corp.
AIRG,"Airgain, Inc. Common Stock"
AIRI,Air Industries Group
AIRR,First Trust Exchange-Traded Fund VI First Trust RBA American Industrial Renaissance ETF
AIRT,"Air T, Inc. Common Stock"
AIRTP,"Air T, Inc. Air T Funding Alpha Income Trust Preferred Securities"
AIT,"Applied Industrial Technologies, Inc."
AIV,Apartment Investment and Management Company
AIZN,"Assurant, Inc. 5.25% Subordinated Notes due 2061"
AJG,Arthur J. Gallagher & Co.
AJRD,"Aerojet Rocketdyne Holdings, Inc."
AJX,Great Ajax Corp.
AJXA,Great Ajax Corp.7.25% Convertible Senior Notes due 2024
AKA,a.k.a. Brands Holding Corp.
AKAM,"Akamai Technologies, Inc. Common Stock"
AKBA,"Akebia Therapeutics, Inc. Common Stock"
AKIC,Sports Ventures Acquisition Corp. Class A Ordinary Shares
AKICU,Sports Ventures Acquisition Corp. Unit
AKO.A,Embotelladora Andina S.A. Series A
AKO.B,Embotelladora Andina S.A. Series B
AKR,Acadia Realty Trust
AKRO,"Akero Therapeutics, Inc. Common Stock"
AKTS,"Akoustis Technologies, Inc. Common Stock"
AKTX,Akari Therapeutics plc ADR (0.01 USD)
AKU,Akumin Inc. Common Shares
AKUS,"Akouos, Inc. Common Stock"
AKYA,"Akoya BioSciences, Inc. Common Stock"
AL,Air Lease Corporation
ALAC,Alberton Acquisition Corporation Ordinary Shares
ALACR,"Alberton Acquisition Corporation Rights exp April 26, 2021"
ALACU,Alberton Acquisition Corporation Unit
ALB,Albemarle Corporation
ALBO,"Albireo Pharma, Inc. Common Stock"
ALC,Alcon Inc. Ordinary Shares
ALCC,AltC Acquisition Corp.
ALCO,"Alico, Inc. Common Stock"
ALDX,"Aldeyra Therapeutics, Inc. Common Stock"
ALE,"ALLETE, Inc."
ALEC,"Alector, Inc. Common Stock"
ALEX,"Alexander & Baldwin, Inc."
ALF,"ALFI, Inc. Common Stock"
ALFA,AlphaClone Alternative Alpha ETF
ALG,"Alamo Group, Inc."
ALGM,"Allegro MicroSystems, Inc. Common Stock"
ALGN,"Align Technology, Inc. Common Stock"
ALGS,"Aligos Therapeutics, Inc. Common Stock"
ALGT,Allegiant Travel Company Common Stock
ALHC,"Alignment Healthcare, Inc. Common Stock"
ALIM,"Alimera Sciences, Inc. Common Stock"
ALIT,"Alight, Inc."
ALJJ,"ALJ Regional Holdings, Inc. Common Stock"
ALK,"Alaska Air Group, Inc."
ALKS,Alkermes plc Ordinary Shares
ALKT,"Alkami Technology, Inc. Common Stock"
ALL,The Allstate Corporation
ALLE,Allegion Public Limited Company
ALLK,Allakos Inc. Common Stock
ALLO,"Allogene Therapeutics, Inc. Common Stock"
ALLT,Allot Ltd. Ordinary Shares
ALLY,Ally Financial Inc.
ALNA,"Allena Pharmaceuticals, Inc. Common Stock"
ALNY,"Alnylam Pharmaceuticals, Inc. Common Stock"
ALOT,"AstroNova, Inc. Common Stock"
ALPA,Alpha Healthcare Acquisition Corp. III Class A Common Stock
ALPAU,Alpha Healthcare Acquisition Corp. III Units
ALPN,"Alpine Immune Sciences, Inc. Common Stock"
ALRM,"Alarm.com Holdings, Inc. Common Stock"
ALRN,"Aileron Therapeutics, Inc. Common Stock"
ALRS,Alerus Financial Corporation Common Stock
ALSN,"ALLISON TRANSMISSION HOLDINGS, INC."
ALT,"Altimmune, Inc. Common Stock"
ALTL,Pacer Lunt Large Cap Alternator ETF
ALTM,Altus Midstream Company Class A Common Stock
ALTO,"Alto Ingredients, Inc. Common Stock"
ALTR,Altair Engineering Inc. Class A Common Stock
ALTS,ProShares Morningstar Alternatives Solution ETF
ALXO,ALX Oncology Holdings Inc. Common Stock
AMAO,American Acquisition Opportunity Inc. Class A Common Stock
AMAOU,American Acquisition Opportunity Inc. Units
AMAT,"Applied Materials, Inc. Common Stock"
AMBA,"Ambarella, Inc. Ordinary Shares"
AMBC,"Ambac Financial Group, Inc."
AMBO,"Ambow Education Holding Ltd. American Depository Shares, each representing two Class A ordinary shar"
AMBP,Ardagh Metal Packaging S.A.
AMC,"AMC ENTERTAINMENT HOLDINGS, INC."
AMCI,AMCI Acquisition Corp. II Class A Common Stock
AMCIU,AMCI Acquisition Corp. II Units
AMCR,Amcor plc Ordinary Shares
AMCX,AMC Networks Inc. Class A Common Stock
AMD,"Advanced Micro Devices, Inc. Common Stock"
AME,"Ametek, Inc."
AMED,Amedisys Inc Common Stock
AMEH,"Apollo Medical Holdings, Inc. Common Stock"
AMER,Emles Made in America ETF
AMG,Affiliated Managers Group
AMGN,Amgen Inc. Common Stock
AMH,AMERICAN HOMES 4 RENT
AMJ,JP Morgan Alerian MLP Index ETN 5/24/24
AMK,"AssetMark Financial Holdings, Inc."
AMKR,"Amkor Technology, Inc. Common Stock"
AMLP,Alerian MLP ETF
AMN,AMN Healthcare Services
AMNA,ETRACS Alerian Midstream Energy Index ETN
AMNB,"American National Bankshares, Inc. Common Stock"
AMND,ETRACS Alerian Midstream Energy High Dividend Index ETN
AMOM,Qraft AI-Enhanced US Large Cap Momentum ETF
AMOT,"Allied Motion Technologies, Inc."
AMOV,America Movil SAB de CV
AMP,"Ameriprise Financial, Inc."
AMPE,"Ampio Pharmaceuticals, Inc"
AMPG,"Amplitech Group, Inc. Common Stock"
AMPH,"Amphastar Pharmaceuticals, Inc. Common Stock"
AMPI,"Advanced Merger Partners, Inc."
AMPI.U,"Advanced Merger Partners, Inc. Units, each consisting of one share of Class A common stock and one-s"
AMPL,"Amplitude, Inc. Class A Common Stock"
AMPY,Amplify Energy Corp.
AMR,"Alpha Metallurgical Resources, Inc."
AMRC,"Ameresco, Inc."
AMRK,"A-Mark Precious Metals, Inc. Common Stock"
AMRN,Amarin Corporation plc
AMRS,"Amyris, Inc. Common Stock"
AMRX,"Amneal Pharmaceuticals, Inc. Class A Common Stock"
AMS,American Shared Hospital Services
AMSC,American Superconductor Corporation Common Stock
AMSF,"AMERISAFE, Inc. Common Stock"
AMST,Amesite Inc. Common Stock
AMSWA,"American Software, Inc. Class A Common Stock"
AMT,American Tower Corporation
AMTB,Amerant Bancorp Inc. Class A Common Stock
AMTBB,Amerant Bancorp Inc. Class B Common Stock
AMTI,Applied Molecular Transport Inc. Common Stock
AMTR,ETRACS Alerian Midstream Energy Total Return Index ETN
AMTX,"Aemetis, Inc. Common Stock"
AMUB,"ETRACS Alerian MLP Index ETN Series B due July 18, 2042"
AMWD,American Woodmark Corporation Common Stock
AMWL,American Well Corporation
AMX,America Movil S.A.B de C.V
AMYT,Amryt Pharma plc American Depositary Shares
AMZA,InfraCap MLP ETF
AMZN,"Amazon.com, Inc. Common Stock"
AN,"AutoNation, Inc."
ANAC,Arctos NorthStar Acquisition Corp.
ANAC.U,"Arctos NorthStar Acquisition Corp. Units, each consisting of one Class A ordinary share, and one-fou"
ANAT,"American National Group, Inc. Common Stock"
ANDE,"Andersons, Inc. (The) Common Stock"
ANEB,"Anebulo Pharmaceuticals, Inc. Common Stock"
ANET,Arista Networks
ANEW,ProShares MSCI Transformational Changes ETF
ANF,Abercrombie & Fitch Co.
ANGI,Angi Inc. Class A Common Stock
ANAB,"AnaptysBio, Inc. Common Stock"
ANGL,VanEck Fallen Angel High Yield Bond ETF
ANGN,Angion Biomedica Corp. Common Stock
ANGO,"AngioDynamics, Inc. Common Stock"
ANIK,Anika Therapeutics Inc. Common Stock
ANIP,"ANI Pharmaceuticals, Inc."
ANIX,"Anixa Biosciences, Inc. Common Stock"
ANNX,"Annexon, Inc. Common Stock"
ANPC,"AnPac Bio-Medical Science Co., Ltd. American Depositary Shares"
ANSS,"ANSYS, Inc. Common Stock"
ANTE,AirNet Technology Inc. American Depositary Shares
ANTM,"ANTHEM, INC."
ANVS,"Annovis Bio, Inc."
ANY,Sphere 3D Corp. Common Shares
ANZU,Anzu Special Acquisition Corp I Class A Common Stock
ANZUU,Anzu Special Acquisition Corp I Units
AOA,iShares Core Aggressive Allocation ETF
AOD,Aberdeen Total Dynamic Dividend Fund
AOK,iShares Core Moderate Allocation ETF
AOM,iShares Core Moderate Allocation ETF
AOMR,"Angel Oak Mortgage, Inc."
AON,Aon plc Class A
AOR,iShares Core Growth Allocation ETF
AOS,A.O. Smith Corporation
AOSL,Alpha and Omega Semiconductor Limited Common Shares
AOUT,"American Outdoor Brands, Inc. Common Stock"
AP,Ampco-Pittsburgh Corp.
APA,APA Corporation Common Stock
APAC,StoneBridge Acquisition Corporation Class A Ordinary Shares
APACU,StoneBridge Acquisition Corporation Unit
APAM,ARTISAN PARTNERS ASSET MANAGEMENT INC.
APD,"Air Products & Chemicals, Inc."
APDN,"Applied DNA Sciences, Inc. Common Stock"
APEI,"American Public Education, Inc. Common Stock"
APEN,"Apollo Endosurgery, Inc. Common Stock"
APG,APi Group Corporation
APGB,Apollo Strategic Growth Capital II
APGB.U,"Apollo Strategic Growth Capital II Units, each consisting of one Class A ordinary share, and one-fif"
APH,Amphenol Corporation
API,"Agora, Inc. American Depositary Shares"
APLE,"Apple Hospitality REIT, Inc."
APLS,"Apellis Pharmaceuticals, Inc. Common Stock"
APLT,"Applied Therapeutics, Inc. Common Stock"
APM,Aptorum Group Limited Class A Ordinary Shares
APMI,AxonPrime Infrastructure Acquisition Corporation Class A Common Stock
APMIU,AxonPrime Infrastructure Acquisition Corporation Unit
APO,"Apollo Global Management, Inc."
APOG,"Apogee Enterprises, Inc. Common Stock"
APOP,Cellect Biotechnology Ltd. American Depositary Shares
APP,Applovin Corporation Class A Common Stock
APPF,"AppFolio, Inc. Class A Common Stock"
APPH,"AppHarvest, Inc. Common Stock"
APPN,Appian Corporation Class A Common Stock
APR,"Apria, Inc. Common Stock"
APRE,"Aprea Therapeutics, Inc. Common stock"
APRN,"Blue Apron Holdings, Inc. Class A Common Stock"
APPS,"Digital Turbine, Inc. Common Stock"
APRZ,TrueShares Structured Outcome (April) ETF
APSG,Apollo Strategic Growth Capital
APSG.U,"Apollo Strategic Growth Capital Units, each consisting of one Class A Ordinary Share and one-third W"
APT,"Alpha Pro Tech, Ltd."
APTM,Alpha Partners Technology Merger Corp. Class A Ordinary Shares
APTMU,Alpha Partners Technology Merger Corp. Unit
APTO,"Aptose Biosciences, Inc. Common Shares"
APTS,"Preferred Apartment Communities, Inc."
APTV,Aptiv PLC
APTX,Aptinyx Inc. Common Stock
APVO,Aptevo Therapeutics Inc. Common Stock
APWC,"Asia Pacific Wire & Cable Corporation, Ltd. Ordinary Shares (Bermuda)"
APXH,APEX HealthCare ETF
APYX,Apyx Medical Corporation Common Stock
AQB,"AquaBounty Technologies, Inc. Common Stock"
AQMS,"Aqua Metals, Inc. Common Stock"
AQN,Algonquin Power & Utilities Corp
AQNA,Algonquin Power & Utilities Corp. 6.875% Fixed-to-Floating Rate Subordinated Notes Series 2018-A due
AQNB,Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July
AQNU,Algonquin Power & Utilities Corp. Corporate Units
AQST,"Aquestive Therapeutics, Inc. Common Stock"
AQUA,Evoqua Water Technologies Corp. Common Stock
AQWA,Global X Funds Global X Clean Water ETF
AR,ANTERO RESOURCES CORPORATION
ARAV,"Aravive, Inc. Common Stock"
ARAY,Accuray Incorporated Common Stock
ARB,AltShares Merger Arbitrage ETF
ARBE,Arbe Robotics Ltd. Ordinary Shares
ARBG,Aequi Acquisition Corp. Class A Common Stock
ARBGU,Aequi Acquisition Corp. Unit
ARBK,Argo Blockchain plc American Depositary Shares
ARC,"ARC Document Solutions, Inc."
ARCB,ArcBest Corporation Common Stock
ARCC,Ares Capital Corporation Common Stock
ARCE,Arco Platform Limited Class A Common Shares
ARCH,"Arch Resources, Inc."
ARCM,Arrow Reserve Capital Management ETF
ARCO,ARCOS DORADOS HOLDINGS INC.
ARCT,Arcturus Therapeutics Holdings Inc. Common Stock
ARDC,"ARES DYNAMIC CREDIT ALLOCATION FUND, INC."
ARDS,Aridis Pharmaceuticals Inc. Common Stock
ARDX,"Ardelyx, Inc. Common Stock"
ARE,"Alexandria Real Estate Equities, Inc."
CLOV,"Clover Health Investments, Corp. Class A Common Stock"
