symbol,company
AREC,American Resources Corporation Class A Common Stock
ARES,Ares Management Corporation Class A Common Stock
ARGD,"Argo Group US, Inc. 6.500% Senior Notes due 2042"
ARGO,"Argo Group International Holdings, Ltd."
ARGT,Global X MSCI Argentina ETF
ARGUU,Argus Capital Corp. Unit
ARGX,argenx SE American Depositary Shares
ARI,"APOLLO COMMERCIAL REAL ESTATE FINANCE, INC."
ARKF,ARK Fintech Innovation ETF
ARKG,ARK Genomic Revolution ETF
ARKK,ARK Innovation ETF
ARKO,ARKO Corp. Common Stock
ARKQ,ARK Autonomous Technology & Robotics ETF
ARKR,Ark Restaurants Corp. Common Stock
ARKW,ARK Next Generation Internet ETF
ARKX,ARK Space Exploration & Innovation ETF
ARL,"American Realty Investors, Inc."
ARLO,"Arlo Technologies, Inc."
ARLP,"Alliance Resource Partners, L.P. Common Units representing Limited Partners Interests"
ARMP,"Armata Pharmaceuticals, Inc. Common Stock"
ARMR,Armor US Equity Index ETF
ARNA,"Arena Pharmaceuticals, Inc. Common Stock"
ARNC,Arconic Corporation
AROC,Archrock Inc
AROW,Arrow Financial Corporation Common Stock
ARQQ,Arqit Quantum Inc. Ordinary Shares
ARQT,"Arcutis Biotherapeutics, Inc. Common Stock"
ARR,"ARMOUR Residential REIT, Inc."
ARRW,Arrowroot Acquisition Corp. Class A common stock
ARRWU,Arrowroot Acquisition Corp. Unit
ARRY,"Array Technologies, Inc. Common Stock"
ARTA,Artisan Acquisition Corp. Class A Ordinary Shares
ARTAU,Artisan Acquisition Corp. Units
ARTEU,Artemis Strategic Investment Corporation Unit
ARTL,"Artelo Biosciences, Inc. Common Stock"
ARTNA,Artesian Resources Corporation Class A Common Stock
ARTW,"Art's-Way Manufacturing Co., Inc. Common Stock"
ARVL,Arrival Ordinary Shares
ARVN,"Arvinas, Inc. Common Stock"
ARW,"Arrow Electronics, Inc."
ARWR,"Arrowhead Pharmaceuticals, Inc. Common Stock"
ARYD,ARYA Sciences Acquisition Corp IV Class A Odinary Shares
ARYE,ARYA Sciences Acquisition Corp V Class A Ordinary Shares
ASA,ASA GOLD AND PRECIOUS METALS LIMITED
ASAI,Sendas Distribuidora S.A. American Depositary Share (each representing five common shares)
ASAN,"Asana, Inc. Class A Common Stock"
ASAQ,Atlantic Avenue Acquisition Corp
ASAQ.U,"Atlantic Avenue Acquisition Corp. Units, each consisting of one share of Class A common stock and on"
ASAX,Astrea Acquisition Corp. Class A Common Stock
ASAXU,Astrea Acquisition Corp. Unit
ASB,Associated Banc-Corp
ASC,ARDMORE SHIPPING CORPORATION
ASEA,Global X FTSE Southeast Asia ETF
ASET,FlexShares Trust FlexShares Real Assets Allocation Index Fund
ASG,LIBERTY ALL-STAR GROWTH FD
ASGI,Aberdeen Standard Global Infrastructure Income Fund
ASGN,ASGN Incorporated
ASH,Ashland Global Holdings Inc.
ASHR,Xtrackers Harvest CSI 300 China A-Shares ETF
ASHS,Xtrackers Harvest CSI 500 China A-Shares Small Cap ETF
ASHX,Xtrackers MSCI China A Inclusion Equity ETF
ASLE,AerSale Corporation Common Stock
ASLN,ASLAN Pharmaceuticals Limited American Depositary Shares
ASM,Avino Silver & Gold Mines Ltd. (Canada)
ASMB,"Assembly Biosciences, Inc. Common Stock"
ASML,ASML Holding N.V. New York Registry Shares
ASND,Ascendis Pharma A/S American Depositary Shares
ASO,"Academy Sports and Outdoors, Inc. Common Stock"
ASPA,"ABRI SPAC I, INC. Common Stock"
ASPAU,"Abri SPAC I, Inc. Unit"
ASPC,Alpha Capital Acquisition Company One Class A Ordinary Share
ASPCU,Alpha Capital Acquisition Company Unit
ASPN,"Aspen Aerogels, Inc."
ASPS,Altisource Portfolio Solutions S.A. Common Stock
ASPU,Aspen Group Inc. Common Stock
ASPY,ASYMshares ASYMmetric 500 ETF
ASR,"Grupo Aeroportuario del Sureste, S.A. de C.V. American Depositary Shares"
ASRT,"Assertio Holdings, Inc. Common Stock"
ASRV,AmeriServ Financial Inc. Common Stock
ASTC,Astrotech Corporation (DE) Common Stock
ASTE,"Astec Industries, Inc. Common Stock"
ASTR,"Astra Space, Inc. Class A Common Stock"
ASTS,"AST SpaceMobile, Inc. Class A Common Stock"
ASUR,"Asure Software, Inc Common Stock"
ASX,"ASE Technology Holding Co., Ltd."
ASXC,"Asensus Surgical, Inc."
ASYS,"Amtech Systems, Inc. Common Stock"
ASZ,Austerlitz Acquisition Corporation II
ASZ.U,"Austerlitz Acquisition Corporation II Units, each consisting of one Class A ordinary share and one-f"
ATA,Americas Technology Acquisition Corp.
ATA.U,"Americas Technology Acquisition Corp. Units, each consisting of one Ordinary Share and one half of R"
ATAI,ATAI Life Sciences N.V. Common Shares
ATAQ,Altimar Acquisition Corp. III
ATAQ.U,"Altimar Acquisition Corp. III Units, each consisting of one Class A ordinary share, and one-fourth o"
ATAX,"America First Multifamily Investors, L.P. Beneficial Unit Certificates (BUCs) representing Limited Partnership Interests"
ATC,Atotech Limited
ATCO,Atlas Corp.
ATCOL,Atlas Corp. 7.125% Notes due 2027
ATCX,"Atlas Technical Consultants, Inc. Class A Common Stock"
ATEC,"Alphatec Holdings, Inc. Common Stock"
ATEN,A10 NETWORKS INC
ATER,"Aterian, Inc. Common Stock"
ATEX,Anterix Inc. Common Stock
ATFV,Alger 35 ETF
ATGE,Adtalem Global Education Inc. Common Shares
ATH,Athene Holding Ltd. Class A Common Shares
ATHA,"Athira Pharma, Inc. Common Stock"
ATHE,Alterity Therapeutics Limited American Depositary Shares
ATHM,"Autohome Inc. American Depositary Shares, each representing four Class A Ordinary Shares"
ATHN,Athena Technology Acquisition Corp.
ATHN.U,"Athena Technology Acquisition Corp. Units, each consisting of one share of Class A Common Stock and"
ATHX,"Athersys, Inc. Common Stock"
ATI,Allegheny Technologies
ATIF,ATIF Holdings Limited Ordinary Shares
ATIP,"ATI Physical Therapy, Inc."
ATKR,Atkore Inc.
ATLC,Atlanticus Holdings Corporation Common Stock
ATLCP,"Atlanticus Holdings Corporation 7.625% Series B Cumulative Perpetual Preferred Stock, no par value per share"
ATLO,Ames National Corporation Common Stock
ATMP,iPath Select MLP ETN
ATMR,Altimar Acquisition Corp. II
ATMR.U,"Altimar Acquisition Corp. II Units, each consisting of one Class A ordinary share and one-fourth of"
ATNF,180 Life Sciences Corp. Common Stock
ATNI,"ATN International, Inc. Common Stock"
ATNM,"Actinium Pharmaceuticals, Inc"
ATNX,"Athenex, Inc. Common Stock"
ATO,Atmos Energy Corporation
ATOM,Atomera Incorporated Common Stock
ATOS,"Atossa Therapeutics, Inc. Common Stock"
ATR,"AptarGroup, Inc."
ATRA,"Atara Biotherapeutics, Inc. Common Stock"
ATRC,"AtriCure, Inc. Common Stock"
ATRI,Atrion Corporation Common Stock
ATRO,Astronics Corporation Common Stock
ATRS,"Antares Pharma, Inc. Common Stock"
ATSG,"Air Transport Services Group, Inc"
ATSPT,Archimedes Tech SPAC Partners Co. Subunit
ATSPU,Archimedes Tech SPAC Partners Co. Unit
ATTO,Atento S.A.
ATUS,"Altice USA, Inc. Class A Common Stock"
ATVC,Tribe Capital Growth Corp I Class A common stock
ATVCU,Tribe Capital Growth Corp I Units
ATVI,"Activision Blizzard, Inc. Common Stock"
ATXI,"Avenue Therapeutics, Inc. Common Stock"
ATXS,"Astria Therapeutics, Inc. Common Stock"
ATY,AcuityAds Holdings Inc. Common Shares
AU,AngloGold Ashanti Limited
AUB,Atlantic Union Bankshares Corporation Common Stock
AUBAP,"Atlantic Union Bankshares Corporation Depositary Shares each representing a 1/400th ownership interest in a share of 6.875% Perpetual Non-Cumulative Preferred Stock, Series A"
AUBN,"Auburn National Bancorporation, Inc. Common Stock"
AUD,"Audacy, Inc."
AUDC,AudioCodes Ltd. Common Stock
AUGZ,TrueShares Structured Outcome (August) ETF
AUID,Ipsidy Inc. Common Stock
AUMN,Golden Minerals Company
AUPH,Aurinia Pharmaceuticals Inc Ordinary Shares
AURC,Aurora Acquisition Corp. Class A Ordinary Shares
AURCU,Aurora Acquisition Corp. Unit
AUS,Austerlitz Acquisition Corporation I
AUS.U,"Austerlitz Acquisition Corporation I Units, each consisting of one Class A ordinary share and one-fo"
AUSF,Global X Adaptive U.S. Factor ETF
AUTL,Autolus Therapeutics plc American Depositary Share
AUTO,"AutoWeb, Inc. Common Stock"
AUUD,Auddia Inc. Common Stock
AUVI,"Applied UV, Inc. Common Stock"
AUVIP,"Applied UV, Inc. 10.5% Series A Cumulative Perpetual Preferred Stock, $0.0001 par value per share"
AUY,"Yamana Gold, Inc."
AVA,Avista Corporation
AVACU,Avalon Acquisition Inc. Units
AVAH,Aveanna Healthcare Holdings Inc. Common Stock
AVAL,GRUPO AVAL ACCIONES Y VALORES S.A.
AVAN,Avanti Acquisition Corp.
AVAN.U,"Avanti Acquisition Corp. Units, each consisting of one Class A ordinary share and one-half of one re"
AVAV,"AeroVironment, Inc. Common Stock"
AVB,"AvalonBay Communities, Inc."
AVCO,Avalon GloboCare Corp. Common Stock
AVCT,"American Virtual Cloud Technologies, Inc. Common Stock"
AVD,American Vanguard Corporation
AVDE,Avantis International Equity ETF
AVDG,AVDR US LargeCap ESG ETF
AVDL,Avadel Pharmaceuticals plc American Depositary Shares
AVDR,AVDR US LargeCap Leading ETF
AVDV,Avantis International Small Cap Value ETF
AVEM,Avantis Emerging Markets Equity ETF
AVEO,"AVEO Pharmaceuticals, Inc. Common Stock"
AVES,Avantis Emerging Markets Value ETF
AVGO,Broadcom Inc. Common Stock
AVGOP,"Broadcom Inc. 8.00% Mandatory Convertible Preferred Stock, Series A"
AVGR,"Avinger, Inc. Common Stock"
AVID,"Avid Technology, Inc. Common Stock"
AVIG,Avantis Core Fixed Income ETF
AVIR,"Atea Pharmaceuticals, Inc. Common Stock"
AVIV,Avantis International Large Cap Value ETF
AVK,Advent Convertible and Income Fund
AVLR,"Avalara, Inc."
AVLV,Avantis U.S. Large Cap Value ETF
AVMU,Avantis Core Municipal Fixed Income ETF
AVNS,"Avanos Medical, Inc."
AVNT,Avient Corporation
AVNW,"Aviat Networks, Inc. Common Stock"
AVO,"Mission Produce, Inc. Common Stock"
AVPT,"AvePoint, Inc. Class A Common Stock"
AVRE,Avantis Real Estate ETF
AVRO,"AVROBIO, Inc. Common Stock"
AVSF,Avantis Short-Term Fixed Income ETF
AVT,"Avnet, Inc. Common Stock"
AVTE,"Aerovate Therapeutics, Inc. Common Stock"
AVTR,"Avantor, Inc."
AVTX,"Avalo Therapeutics, Inc. Common Stock"
AVUS,Avantis U.S. Equity ETF
AVUV,Avantis U.S. Small Cap Value ETF
AVXL,Anavex Life Sciences Corp. Common Stock
AVY,Avery Dennison Corp.
AVYA,Avaya Holdings Corp. Common Stock
AWAY,ETFMG Travel Tech ETF
AWF,"ALLIANCEBERSTEIN GLOBAL HIGH INCOME FUND, INC."
AWH,Aspira Women's Health Inc. Common Stock
AWI,"Armstrong World Industries, Inc."
AWK,"American Water Works Company, Inc"
AWP,Aberdeen Global Premier Properties Fund
AWR,American States Water Company
AWRE,"Aware, Inc. Common Stock"
AWTM,Aware Ultra-Short Duration Enhanced Income ETF
AWX,Avalon Holdings Corp.
AWYX,ETFMG 2x Daily Travel Tech ETF
AX,"Axos Financial, Inc. Common Stock"
AXDX,"Accelerate Diagnostics, Inc. Common Stock"
AXGN,"Axogen, Inc. Common Stock"
AXL,"American Axle & Manufacturing Holdings, Inc."
AXLA,Axcella Health Inc. Common Stock
AXNX,"Axonics, Inc. Common Stock"
AXON,"Axon Enterprise, Inc. Common Stock"
AXP,American Express Company
AXR,AMREP Corporation
AXS,Axis Capital Holders Limited
AXSM,"Axsome Therapeutics, Inc. Common Stock"
AXTA,Axalta Coating Systems Ltd.
AXTI,AXT Inc Common Stock
AXU,Alexco Resource Corp.
AY,Atlantica Sustainable Infrastructure plc Ordinary Shares
AYI,"Acuity Brands, Inc."
AYLA,"Ayala Pharmaceuticals, Inc. Common Stock"
AYRO,"AYRO, Inc. Common Stock"
AYTU,"Aytu BioPharma, Inc. Common Stock"
AYX,"Alteryx, Inc."
AZAA,AllianzIM U.S. Large Cap Buffer10 Apr ETF
AZAJ,AllianzIM U.S. Large Cap Buffer10 Jan ETF
AZAL,AllianzIM U.S. Large Cap Buffer10 Jul ETF
AZAO,AllianzIM U.S. Large Cap Buffer10 Oct ETF
AZBA,AllianzIM U.S. Large Cap Buffer20 Apr ETF
AZBJ,AllianzIM U.S. Large Cap Buffer20 Jan ETF
AZBL,AllianzIM U.S. Large Cap Buffer20 Jul ETF
AZBO,AllianzIM U.S. Large Cap Buffer20 Oct ETF
AZEK,The AZEK Company Inc.
AZN,AstraZeneca PLC American Depositary Shares
AZO,"AutoZone, Inc."
AZPN,"Aspen Technology, Inc. Common Stock"
AZRE,Azure Power Global Limited
AZUL,Azul S.A. American Depositary Shares (each representing three preferred shares)
AZYO,"Aziyo Biologics, Inc. Class A Common Stock"
AZZ,AZZ Inc.
B,Barnes Group Inc.
BA,Boeing Company
BAB,Invesco Taxable Municipal Bond ETF
BABA,"Alibaba Group Holding Limited American Depositary Shares, each represents eight Ordinary Shares"
BAC,Bank of America Corporation
BACA.U,"Berenson Acquisition Corp. I Units, each consisting of one share of Class A common stock and one-hal"
BAH,Booz Allen Hamilton Holding Corporation
BAK,Braskem S.A. American Depositary Shares (Each representing Two Class A  Preferred Shares)
BAL,iPath Series B Bloomberg Cotton Subindex Total ReturnSM ETN
BALT,Innovator Defined Wealth Shield ETF
BALY,Bally's Corporation
BAM,Brookfield Asset Management Inc
BAMH,"Brookfield Finance Inc. 4.625% Subordinated Notes due October 16, 2080"
BAMI,Brookfield Finance I (UK) plc 4.50% Perpetual Subordinated Notes
BAMR,Brookfield Asset Management Reinsurance Partners Ltd. Class A Exchangeable Limited Voting Shares
BANC,"Banc of California, Inc."
BAND,Bandwidth Inc. Class A Common Stock
BANF,BancFirst Corporation Common Stock
BANFP,BancFirst Corporation - BFC Capital Trust II Cumulative Trust Preferred Securities
BANR,Banner Corporation Common Stock
BANX,StoneCastle Financial Corp Common Stock
BAOS,Baosheng Media Group Holdings Limited Ordinary shares
BAP,Credicorp LTD
BAPR,Innovator U.S. Equity Buffer ETF - April
BAR,GraniteShares Gold Shares
BARK,The Original BARK Company
BASE,"Couchbase, Inc. Common Stock"
BATL,Battalion Oil Corporation
BATRA,Liberty Media Corporation Series A Liberty Braves Common Stock
BATRK,Liberty Media Corporation Series C Liberty Braves Common Stock
BATT,Amplify Lithium & Battery Technology ETF
BAUG,Innovator U.S. Equity Buffer ETF - August
BAX,Baxter International Inc.
BBAR,Banco BBVA Argentina S.A.
BBAX,JPMorgan BetaBuilders Developed Asia-ex Japan ETF
BBBY,Bed Bath & Beyond Inc. Common Stock
BBC,Virtus LifeSci Biotech Clinical Trials ETF
BBCA,JPMorgan BetaBuilders Canada ETF
BBCP,"Concrete Pumping Holdings, Inc. Common Stock"
BBD,Banco Bradesco S.A. American Depositary Shares (Each representing one Preferred Shares)
BBDC,"Barings BDC, Inc."
BBDO,"Banco Bradesco S.A. American Depositary Shares (Each representing one  Common Share, no par value)"
BBEU,JPMorgan BetaBuilders Europe ETF
BBGI,"Beasley Broadcast Group, Inc. Class A Common Stock"
BBH,VanEck Biotech ETF
BBI,"Brickell Biotech, Inc. Common Stock"
BBIG,"Vinco Ventures, Inc. Common Stock"
BBIN,JPMorgan BetaBuilders International Equity ETF
BBIO,"BridgeBio Pharma, Inc. Common Stock"
BBJP,JPMorgan BetaBuilders Japan ETF
BBL,BHP Group Plc American Depositary Shares (Each representing two Ordinary Shares)
BBMC,JPMorgan BetaBuilders U.S. Mid Cap Equity ETF
BBN,BlackRock Taxable Municipal Bond Trust
BBP,Virtus LifeSci Biotech Products ETF
BBQ,"BBQ Holdings, Inc. Common Stock"
BBRE,JPMorgan BetaBuilders MSCI U.S. REIT ETF
BBSA,JPMorgan BetaBuilders 1-5 Year U.S. Aggregate Bond ETF
BBSC,JPMorgan BetaBuilders U.S. Small Cap Equity ETF
BBSI,"Barrett Business Services, Inc. Common Stock"
BBU,Brookfield Business Partners L.P.Limited Partnership Units
BBUS,JPMorgan BetaBuilders U.S. Equity ETF
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A."
BBW,"Build-A-Bear Workshop, Inc."
BBWI,"Bath & Body Works, Inc."
BBY,"Best Buy Company, Inc."
BC,Brunswick Corporation
BCAB,"BioAtla, Inc. Common Stock"
BCAC,Brookline Capital Acquisition Corp. Common Stock
BCACU,Brookline Capital Acquisition Corp. Units
BCAT,BlackRock Capital Allocation Trust
BCBP,"BCB Bancorp, Inc. (NJ) Common Stock"
BCC,Boise Cascade Company
TELL,Tellurian Inc. Common Stock
BCD,abrdn Bloomberg All Commodity Longer Dated Strategy K-1 Free ETF
BCE,"BCE, Inc."
BCEI,"BONANZA CREEK ENERGY, INC."
BCEL,"Atreca, Inc. Class A Common Stock"
BCH,Banco de ChileAmerican Depositary Shares (Each representing 200 shares of Common Stock)
BCI,abrdn Bloomberg All Commodity Strategy K-1 Free ETF
BCIM,abrdn Bloomberg Industrial Metals Strategy K-1 Free ETF
BCLI,Brainstorm Cell Therapeutics Inc. Common Stock
BCM,iPath Pure Beta Broad Commodity ETN
BCML,BayCom Corp Common Stock
BCO,The Brink's Company
BCOR,"Blucora, Inc. Common Stock"
BCOV,Brightcove Inc. Common Stock
BCOW,"1895 Bancorp of Wisconsin, Inc. (MD) Common Stock"
BCPC,Balchem Corporation Common Stock
BCRX,"BioCryst Pharmaceuticals, Inc. Common Stock"
BCS,Barclays PLC
BCSF,"Bain Capital Specialty Finance, Inc."
BCTX,BriaCell Therapeutics Corp. Common Shares
BCV,Bancroft Fund Ltd.
BCX,BLACKROCK RESOURCES & COMMODITIES STRATEGY TRUST
BCYC,Bicycle Therapeutics plc American Depositary Shares
BCYP,Big Cypress Acquisition Corp. Common stock
BCYPU,Big Cypress Acquisition Corp. Unit
BDC,Belden Inc.
BDCX,"ETRACS Quarterly Pay 1.5X Leveraged MVIS BDC Index ETN due June 10, 2050"
BDCZ,"ETRACS MVIS Business Development Companies Index ETN due April 26, 2041"
BDEC,Innovator U.S. Equity Buffer ETF - December
BDJ,BlackRock Enhanced Equity Dividend Trust
BDL,Flanigan's Enterprises Inc
BDN,Brandywine Realty Trust
BDR,Blonder Tongue Laboratories Inc
BDRY,Breakwave Dry Bulk Shipping ETF
BDSI,"BioDelivery Sciences International, Inc. Common Stock"
BDSX,"Biodesix, Inc. Common Stock"
BDTX,"Black Diamond Therapeutics, Inc. Common Stock"
BDX,"Becton, Dickinson and Co."
BDXB,"Becton, Dickinson and Company Depositary Shares, each Representing a 1/20th Interest in a Share of 6"
BE,Bloom Energy Corporation
BEAM,Beam Therapeutics Inc. Common Stock
BECN,"Beacon Roofing Supply, Inc. Common Stock"
BECO,BlackRock Future Climate and Sustainable Economy ETF
BEDU,"Bright Scholar Education Holdings Limited American Depositary Shares, each representing one Class A"
BEDZ,AdvisorShares Hotel ETF
BEEM,Beam Global Common Stock
BEKE,KE Holdings Inc. American Depositary Shares (each representing three Class A Ordinary Shares)
BELFA,Bel Fuse Inc. Class A Common Stock
BELFB,Bel Fuse Inc. Class B Common Stock
BEN,"Franklin Resources, Inc."
BENE,Benessere Capital Acquisition Corp. Class A Common Stock
BENER,Benessere Capital Acquisition Corp. Right
BENEU,Benessere Capital Acquisition Corp. Unit
BEP,Brookfield Renewable Partners L.P.
BEPC,Brookfield Renewable Corporation Class A Subordinate Voting Shares
BEPH,Brookfield BRP Holdings (Canada) Inc. 4.625% Perpetual Subordinated Notes
BERY,"Berry Global Group, Inc."
BERZ,MicroSectors FANG & Innovation -3x Inverse Leveraged ETN
BEST,"BEST Inc. American Depositary Shares, each representing one Class A Ordinary Share"
BETZ,Roundhill Sports Betting & iGaming ETF
BF.A,Brown-Forman Corporation Class A
BF.B,Brown-Forman Corporation Class B
BFAM,BRIGHT HORIZONS FAMILY SOLUTIONS INC.
BFC,Bank First Corporation Common Stock
BFEB,Innovator U.S. Equity Buffer ETF - February
BFI,"BurgerFi International, Inc. Common Stock"
BFIN,BankFinancial Corporation Common Stock
BFIT,Global X Funds Global X Health & Wellness ETF
BFK,BlackRock Municipal Income Trust
BFLY,"Butterfly Network, Inc."
BFOR,Barron's 400 ETF
BFRA,Biofrontera AG American Depositary Shares
BFS,"Saul Centers, Inc."
BFST,"Business First Bancshares, Inc. Common Stock"
BFTR,BlackRock Future Innovators ETF
BFZ,BLACKROCK CA MUNICIPAL INC TR
BG,Bunge Limited
BGB,Blackstone Strategic Credit Fund
BGCP,"BGC Partners, Inc Class A Common Stock"
BGFV,Big 5 Sporting Goods Corporation Common Stock
BGH,Barings Global Short Duration High Yield Fund
BGI,Birks Group Inc
BGIO,BlackRock 2022 Global Income Opportunity Trust
BGLD,FT Cboe Vest Gold Strategy Quarterly Buffer ETF
BGNE,"BeiGene, Ltd. American Depositary Shares"
BGR,Blackrock Energy and Resources Trust
BGRN,iShares Trust iShares Global Green Bond ETF
BGRY,"Berkshire Grey, Inc. Class A Common Stock"
BGS,"B&G Foods, Inc."
BGSF,"BGSF, Inc."
BGSX,Build Acquisition Corp.
BGSX.U,"Build Acquisition Corp. Units, each consisting of one share of Class A common stock and one-third of"
BGT,BlackRock Floating Rate Income Trust
BGX,Blackstone Long-Short Credit Income Fund
BGY,BlackRock Enhanced International Dividend Trust
BH,Biglari Holdings Inc. Class B Common Stock
BH.A,Biglari Holdings Inc. Class A Common Stock
BHACU,Crixus BH3 Acquisition Company Units
BHAT,Blue Hat Interactive Entertainment Technology Ordinary Shares
BHB,Bar Harbor Bankshares
BHC,Bausch Health Companies Inc.
BHE,Benchmark Electronics
BHF,"Brighthouse Financial, Inc. Common Stock"
BHFAL,"Brighthouse Financial, Inc. 6.25% Junior Subordinated Debentures due 2058"
BHFAN,"Brighthouse Financial, Inc. Depositary shares, each representing a 1/1,000th interest in a share of 5.375% Non-Cumulative Preferred Stock, Series C"
BHFAO,"Brighthouse Financial, Inc. Depositary Shares 6.75% Non-Cumulative Preferred Stock, Series B"
BHFAP,"Brighthouse Financial, Inc. Depositary Shares 6.6% Non-Cumulative Preferred Stock, Series A"
BHG,"Bright Health Group, Inc."
BHIL,"Benson Hill, Inc."
BHK,BLACKROCK CORE BD TR
BHLB,"Berkshire Hills Bancorp, Inc."
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares)
BHR,Braemar Hotels & Resorts Inc. Common Stock
BHSE,Bull Horn Holdings Corp. Ordinary Shares
BHSEU,Bull Horn Holdings Corp. Unit
BHTG,"BioHiTech Global, Inc. Common Stock"
BHV,BlackRock Virginia Muni Bond Trust
BHVN,Biohaven Pharmaceutical Holding Company Ltd.
BIB,ProShares Trust ProShares Ultra Nasdaq Biotechnology
BIBL,Inspire 100 ETF
BICK,First Trust Exchange-Traded Fund II First Trust BICK Index Fund
BIDS,Amplify Digital & Online Trading ETF
BIDU,"Baidu, Inc. ADS"
BIF,"Boulder Growth & Income Fund, Inc."
BIG,"Big Lots, Inc."
BIGC,"BigCommerce Holdings, Inc. Series 1 Common Stock"
BIGY,Defiance Next Gen Big Data ETF
BIGZ,BlackRock Innovation and Growth Trust
BIIB,Biogen Inc. Common Stock
BIL,SPDR Bloomberg Barclays 1-3 Month T-Bill ETF
BILI,Bilibili Inc. American Depositary Shares
BILL,"Bill.com Holdings, Inc."
BILS,SPDR Bloomberg Barclays 3-12 Month T-Bill ETF
BIMI,BIMI International Medical Inc. Common Stock
BIO,"Bio-Rad Laboratories, Inc.Class A"
BIO.B,"Bio-Rad Laboratories, Inc. Class B"
BIOC,"Biocept, Inc. Common Stock"
BIOL,"Biolase, Inc. Common Stock"
BIOT,Biotech Acquisition Company Class A Ordinary Shares
BIOTU,Biotech Acquisition Company Unit
BIOX,Bioceres Crop Solutions Corp. Ordinary Shares
BIP,Brookfield Infrastructure Partners L.P. Limited Partnership Units
BIPC,Brookfield Infrastructure Corporation Class A Subordinate Voting Shares
BIPH,Brookfield Infrastructure Finance ULC 5.000% Subordinated Notes due 2081
BIS,ProShares Trust ProShares UltraShort Nasdaq Biotechnology
BIT,BLACKROCK MULTI-SECTOR INCOME TRUST
BITE,Bite Acquisition Corp.
BITE.U,"Bite Acquisition Corp. Units, each consisting of one share of common stock, and one-half of one rede"
BITF,Bitfarms Ltd. Common Stock
BITQ,Bitwise Crypto Industry Innovators ETF
BIV,Vanguard Intermediate-Term Bond ETF
BIVI,BioVie Inc. Class A Common Stock
BIZD,VanEck BDC Income ETF
BJ,"BJs Wholesale Club Holdings, Inc. Common Stock"
BJAN,Innovator U.S. Equity Buffer ETF - January
BJK,VanEck Gaming ETF
BJRI,"BJ's Restaurants, Inc. Common Stock"
BJUL,Innovator U.S. Equity Buffer ETF - July
BJUN,Innovator U.S. Equity Buffer ETF - June
BK,Bank of New York Mellon Corporation
BKAG,BNY Mellon Core Bond ETF
BKCC,BlackRock Capital Investment Corporation Common Stock
BKCH,Global X Funds Global X Blockchain ETF
BKD,"Brookdale Senior Living, Inc."
BKE,"The Buckle, Inc."
